scenario_id,condition,seed,phase,model_id,model_tag,prompt_version,generated_at,n_tutor_turns,n_learner_turns,exclusion_flag,exclusion_code,exclusion_reason,total_input_tokens,total_output_tokens,total_cost_usd,json_path
SC_0157,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:23:45.460642,5,5,False,,,4024,546,0.01552,outputs/main/gpt-4o-2024-11-20/C1/SC_0157_42.json
SC_0157,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:23:56.878148,5,5,False,,,4519,857,0.019867,outputs/main/gpt-4o-2024-11-20/C1/SC_0157_91.json
SC_0192,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:25:35.002545,7,7,False,,,7327,1108,0.029398,outputs/main/gpt-4o-2024-11-20/C1/SC_0192_17.json
SC_0192,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:25:49.518165,7,7,False,,,7957,1144,0.031332,outputs/main/gpt-4o-2024-11-20/C1/SC_0192_42.json
SC_0192,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:26:01.940133,7,7,False,,,7916,1109,0.03088,outputs/main/gpt-4o-2024-11-20/C1/SC_0192_91.json
SC_0195,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:28:20.763740,4,4,False,,,3189,646,0.014432,outputs/main/gpt-4o-2024-11-20/C1/SC_0195_17.json
SC_0195,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:28:26.786390,4,4,False,,,3100,570,0.01345,outputs/main/gpt-4o-2024-11-20/C1/SC_0195_42.json
SC_0195,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:28:35.436418,4,4,False,,,3234,663,0.014715,outputs/main/gpt-4o-2024-11-20/C1/SC_0195_91.json
SC_0222,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:30:05.912918,17,17,True,E2,Turn 10: non-math content (war),19183,1228,0.060237,outputs/main/gpt-4o-2024-11-20/C1/SC_0222_17.json
SC_0222,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:30:34.084038,17,17,False,,,25672,1802,0.0822,outputs/main/gpt-4o-2024-11-20/C1/SC_0222_42.json
SC_0222,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:31:10.022569,17,17,False,,,31067,2467,0.102337,outputs/main/gpt-4o-2024-11-20/C1/SC_0222_91.json
SC_0243,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:36:49.616246,11,11,True,E2,Turn 1: non-math content (war),11288,1103,0.03925,outputs/main/gpt-4o-2024-11-20/C1/SC_0243_17.json
SC_0243,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:37:04.993220,11,11,False,,,10199,950,0.034998,outputs/main/gpt-4o-2024-11-20/C1/SC_0243_42.json
SC_0243,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:37:19.780681,11,11,False,,,9547,684,0.030707,outputs/main/gpt-4o-2024-11-20/C1/SC_0243_91.json
SC_0265,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:40:55.555620,9,9,False,,,9968,1129,0.03621,outputs/main/gpt-4o-2024-11-20/C1/SC_0265_17.json
SC_0265,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:41:12.311270,9,9,False,,,10682,1500,0.041705,outputs/main/gpt-4o-2024-11-20/C1/SC_0265_42.json
SC_0265,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:41:27.337449,9,9,False,,,10239,1121,0.036808,outputs/main/gpt-4o-2024-11-20/C1/SC_0265_91.json
SC_0292,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:44:13.713256,9,9,False,,,9505,1085,0.034613,outputs/main/gpt-4o-2024-11-20/C1/SC_0292_17.json
SC_0292,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:44:30.083864,9,9,False,,,9220,996,0.03301,outputs/main/gpt-4o-2024-11-20/C1/SC_0292_42.json
SC_0292,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:44:46.851689,9,9,False,,,9618,1014,0.034185,outputs/main/gpt-4o-2024-11-20/C1/SC_0292_91.json
SC_0323,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:47:47.978678,5,5,False,,,4342,816,0.019015,outputs/main/gpt-4o-2024-11-20/C1/SC_0323_17.json
SC_0323,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:48:07.587763,5,5,False,,,4783,837,0.020328,outputs/main/gpt-4o-2024-11-20/C1/SC_0323_42.json
SC_0323,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:48:18.406493,5,5,False,,,4430,819,0.019265,outputs/main/gpt-4o-2024-11-20/C1/SC_0323_91.json
SC_0353,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:50:25.914682,11,11,False,,,14989,1716,0.054633,outputs/main/gpt-4o-2024-11-20/C1/SC_0353_17.json
SC_0353,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:50:54.399901,11,11,False,,,14667,1514,0.051807,outputs/main/gpt-4o-2024-11-20/C1/SC_0353_42.json
SC_0353,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:51:16.192370,11,11,False,,,16743,1889,0.060747,outputs/main/gpt-4o-2024-11-20/C1/SC_0353_91.json
SC_0393,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T01:35:57.820766,10,10,True,E2,Turn 1: non-math content (war),10754,1114,0.038025,outputs/main/gpt-4o-2024-11-20/C1/SC_0393_17.json
SC_0393,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T03:18:37.305980,10,10,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0393_42.json
SC_0393,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T03:22:24.047913,10,10,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0393_91.json
SC_0404,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T01:31:46.384193,7,7,False,,,6911,927,0.026548,outputs/main/gpt-4o-2024-11-20/C1/SC_0404_17.json
SC_0404,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T03:47:51.348854,7,7,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0404_42.json
SC_0404,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T03:50:31.390680,7,7,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0404_91.json
SC_0407,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T04:10:40.597845,11,11,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0407_17.json
SC_0407,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T04:14:52.171718,11,11,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0407_42.json
SC_0407,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T04:19:01.428672,11,11,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0407_91.json
SC_0409,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T04:58:30.675421,5,5,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0409_17.json
SC_0409,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T05:00:24.735834,5,5,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0409_42.json
SC_0409,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T05:02:19.323070,5,5,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0409_91.json
SC_0448,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T05:23:33.275187,11,11,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0448_17.json
SC_0448,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T05:27:44.478718,11,11,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0448_42.json
SC_0448,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T05:31:55.646684,11,11,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0448_91.json
SC_0487,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T06:11:02.296180,4,4,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0487_17.json
SC_0487,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T06:12:33.626150,4,4,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0487_42.json
SC_0487,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T06:14:05.052873,4,4,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0487_91.json
SC_0505,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T06:31:55.566113,11,11,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0505_17.json
SC_0505,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T06:36:05.912484,11,11,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0505_42.json
SC_0505,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T06:40:16.192754,11,11,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0505_91.json
SC_0527,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T07:21:15.352557,9,9,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0527_17.json
SC_0527,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T07:24:40.034685,9,9,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0527_42.json
SC_0527,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T07:28:05.007078,9,9,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0527_91.json
SC_0553,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T08:02:36.920837,10,10,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0553_17.json
SC_0553,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T08:06:25.659542,10,10,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0553_42.json
SC_0553,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T08:10:13.779887,10,10,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0553_91.json
SC_0557,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T08:45:55.787614,4,4,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0557_17.json
SC_0557,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T08:47:26.919175,4,4,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0557_42.json
SC_0557,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T08:48:57.842920,4,4,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0557_91.json
SC_0558,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T09:05:39.832199,8,8,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0558_17.json
SC_0558,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T09:08:42.545527,8,8,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0558_42.json
SC_0558,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T09:11:45.909985,8,8,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0558_91.json
SC_0561,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T09:43:17.952186,11,11,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0561_17.json
SC_0561,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T09:47:28.621745,11,11,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0561_42.json
SC_0561,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T09:51:39.570027,11,11,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0561_91.json
SC_0570,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T01:32:42.871781,4,4,False,,,3474,636,0.015045,outputs/main/gpt-4o-2024-11-20/C1/SC_0570_17.json
SC_0570,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T10:30:46.903926,4,4,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0570_42.json
SC_0570,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T10:32:17.991826,4,4,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0570_91.json
SC_0605,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T10:43:41.765754,6,6,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0605_17.json
SC_0605,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T10:45:58.426311,6,6,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0605_42.json
SC_0605,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T10:48:15.491142,6,6,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0605_91.json
SC_0688,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T11:11:25.212905,7,7,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0688_17.json
SC_0688,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T11:14:05.891517,7,7,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0688_42.json
SC_0688,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T11:16:45.085459,7,7,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0688_91.json
SC_0725,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T11:42:12.391115,4,4,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0725_17.json
SC_0725,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T11:43:43.362435,4,4,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0725_42.json
SC_0725,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T11:45:14.428872,4,4,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0725_91.json
SC_0736,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T01:33:20.294403,8,8,False,,,6490,609,0.022315,outputs/main/gpt-4o-2024-11-20/C1/SC_0736_17.json
SC_0736,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T12:01:57.155290,8,8,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0736_42.json
SC_0736,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T12:04:59.254138,8,8,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0736_91.json
SC_0746,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T12:27:24.713407,11,11,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0746_17.json
SC_0746,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T12:31:36.387052,11,11,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0746_42.json
SC_0746,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T12:35:47.304570,11,11,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0746_91.json
SC_0795,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T13:14:51.105260,4,4,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0795_17.json
SC_0795,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T13:16:22.073504,4,4,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0795_42.json
SC_0795,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T13:17:52.934095,4,4,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0795_91.json
SC_0800,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T13:33:26.587456,5,5,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0800_17.json
SC_0800,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T13:35:20.915912,5,5,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0800_42.json
SC_0800,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T13:37:14.470563,5,5,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0800_91.json
SC_0809,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T13:59:38.983791,14,14,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0809_17.json
SC_0809,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T14:04:57.385119,14,14,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/gpt-4o-2024-11-20/C1/SC_0809_42.json
