item_id,qtype,domain,concept,difficulty,persona,model_id,model_tag,seed,demographic_context,generated_at,correct,grade_method,input_tokens,output_tokens,latency_ms,cost_usd,error
MCQ_6B0E5217,MCQ,python_programming,exceptions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:45:59.675149,,ungraded,279,87,2123.9,0.00054,
MCQ_6B44A514,MCQ,python_programming,file_io,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:44:59.292840,,ungraded,281,75,1627.9,0.000506,
MCQ_6C494BBF,MCQ,python_programming,functions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:49:05.000807,,ungraded,279,52,1691.6,0.000435,
MCQ_6F550570,MCQ,python_programming,loops,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:45:49.366575,,ungraded,279,48,1400.6,0.000423,
MCQ_73C2B555,MCQ,python_programming,operators,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:46:34.476824,,ungraded,279,82,1630.2,0.000525,
MCQ_759784E4,MCQ,python_programming,functions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:37.392756,,ungraded,279,48,1576.7,0.000423,
MCQ_75D1EA90,MCQ,python_programming,exceptions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:48:59.763076,1.0,pattern_match,279,99,2383.1,0.000576,
MCQ_76B7D893,MCQ,python_programming,dictionaries,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:45:28.626937,,ungraded,280,52,2019.7,0.000436,
MCQ_76DAD7A1,MCQ,python_programming,lists,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:22.558743,1.0,pattern_match,279,86,2258.5,0.000537,
MCQ_779F540E,MCQ,python_programming,dictionaries,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:43:42.282738,,ungraded,280,52,1642.5,0.000436,
MCQ_7823149A,MCQ,python_programming,data_types,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:48:51.083089,,ungraded,281,34,1196.4,0.000383,
MCQ_7843F341,MCQ,python_programming,classes,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:29.593597,,ungraded,279,75,3929.1,0.000504,
MCQ_7926A485,MCQ,python_programming,operators,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:46:52.212244,,ungraded,279,63,1440.3,0.000468,
MCQ_7B4AAEE0,MCQ,python_programming,modules,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:46:03.214126,,ungraded,279,53,1615.2,0.000438,
MCQ_7E96D378,MCQ,python_programming,operators,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:46:17.043143,1.0,pattern_match,279,87,2460.9,0.00054,
MCQ_7EEEB567,MCQ,python_programming,data_types,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:40.686010,1.0,pattern_match,281,84,1911.0,0.000533,
MCQ_8122144B,MCQ,python_programming,dictionaries,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:44:33.848653,,ungraded,280,63,1948.9,0.000469,
MCQ_82222B6A,MCQ,python_programming,modules,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:45:38.781892,,ungraded,279,51,2115.9,0.000432,
MCQ_822AFE6A,MCQ,python_programming,loops,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:48:14.004433,,ungraded,279,60,1619.4,0.000459,
MCQ_83627951,MCQ,python_programming,exceptions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:43:47.322445,,ungraded,279,80,1728.9,0.000519,
MCQ_83862C97,MCQ,python_programming,operators,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:48:38.978383,1.0,pattern_match,279,77,1764.3,0.00051,
MCQ_841547A4,MCQ,python_programming,data_types,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:45:05.736348,1.0,pattern_match,281,76,1585.1,0.000509,
MCQ_84832CA0,MCQ,python_programming,operators,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:08.629695,,ungraded,279,50,1554.0,0.000429,
MCQ_85A9A14D,MCQ,python_programming,loops,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:44:46.023094,,ungraded,279,62,1764.0,0.000465,
MCQ_8657A4F2,MCQ,python_programming,loops,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:02.006850,1.0,pattern_match,279,65,1850.6,0.000474,
MCQ_867C0A69,MCQ,python_programming,file_io,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:46:39.796406,,ungraded,281,76,2015.9,0.000509,
MCQ_88C9FCA7,MCQ,python_programming,lists,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:45:52.021153,,ungraded,279,50,1424.1,0.000429,
MCQ_893C6B67,MCQ,python_programming,operators,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:45:30.408249,,ungraded,279,63,1780.6,0.000468,
MCQ_89D44818,MCQ,python_programming,classes,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:48:05.667614,1.0,pattern_match,279,80,2312.3,0.000519,
MCQ_8AFB933F,MCQ,python_programming,modules,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:43:34.951935,1.0,pattern_match,279,83,1807.7,0.000528,
MCQ_8C5970AA,MCQ,python_programming,loops,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:18.573348,,ungraded,279,59,1414.9,0.000456,
MCQ_8F8B9DDB,MCQ,python_programming,file_io,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:44:40.596525,1.0,pattern_match,281,84,1701.8,0.000533,
MCQ_9068888E,MCQ,python_programming,classes,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:44:37.381340,,ungraded,279,71,1417.5,0.000492,
MCQ_93A7EE5F,MCQ,python_programming,operators,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:44:01.401908,1.0,pattern_match,279,86,2372.5,0.000537,
MCQ_94FC1FC0,MCQ,python_programming,exceptions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:49:17.235931,1.0,pattern_match,279,86,2148.5,0.000537,
MCQ_9646CC9C,MCQ,python_programming,modules,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:49:03.308703,,ungraded,279,53,1578.6,0.000438,
MCQ_977EB656,MCQ,python_programming,lists,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:48:52.727716,,ungraded,279,85,1643.9,0.000534,
MCQ_97A48B1F,MCQ,python_programming,dictionaries,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:46:14.581678,,ungraded,280,52,1423.5,0.000436,
MCQ_999D9B8E,MCQ,python_programming,data_types,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:46:11.748638,,ungraded,281,38,5010.8,0.000395,
MCQ_9A51471B,MCQ,python_programming,file_io,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:48:09.719153,1.0,pattern_match,281,91,1808.1,0.000554,
MCQ_9AE54B44,MCQ,python_programming,modules,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:46:58.803588,,ungraded,279,50,1272.1,0.000429,
MCQ_9C6D290D,MCQ,python_programming,loops,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:44:11.764493,1.0,pattern_match,279,75,1643.7,0.000504,
MCQ_9D2D5C8E,MCQ,python_programming,operators,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:44:18.921247,1.0,pattern_match,279,88,2011.9,0.000543,
MCQ_9E0E4EB3,MCQ,python_programming,dictionaries,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:46:50.771306,,ungraded,280,47,1305.8,0.000421,
MCQ_9E8440D4,MCQ,python_programming,classes,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:48:22.595673,1.0,pattern_match,279,80,1778.9,0.000519,
MCQ_A023151A,MCQ,python_programming,functions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:48:29.284238,,ungraded,279,48,1470.9,0.000423,
MCQ_A080A529,MCQ,python_programming,dictionaries,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:45:54.079169,,ungraded,280,77,2057.2,0.000511,
MCQ_A1BACBAC,MCQ,python_programming,functions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:00.155126,,ungraded,279,48,1350.9,0.000423,
MCQ_A2A21BF9,MCQ,python_programming,modules,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:48:10.863155,,ungraded,279,33,1143.3,0.000378,
MCQ_A3EEA166,MCQ,python_programming,modules,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:44:08.814644,,ungraded,279,89,1711.6,0.000546,
MCQ_A8B7B0EB,MCQ,python_programming,lists,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:45:07.381742,0.0,pattern_match,279,80,1644.9,0.000519,
MCQ_A8E8A360,MCQ,python_programming,functions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:46:25.844538,,ungraded,279,48,1364.1,0.000423,
MCQ_AA99518C,MCQ,python_programming,dictionaries,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:44.464006,,ungraded,280,49,1924.7,0.000427,
MCQ_AADD1A58,MCQ,python_programming,file_io,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:47:50.738198,,ungraded,281,64,1526.7,0.000473,
MCQ_AF1C8959,MCQ,python_programming,lists,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:44:48.615156,,ungraded,279,50,1444.9,0.000429,
MCQ_AF6B7E8E,MCQ,python_programming,exceptions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:43:30.908726,1.0,pattern_match,279,76,1889.1,0.000507,
MCQ_B3381D30,MCQ,python_programming,exceptions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:46:55.379735,,ungraded,279,80,1631.9,0.000519,
MCQ_B46D4953,MCQ,python_programming,operators,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:48:03.354697,1.0,pattern_match,279,76,1746.8,0.000507,
MCQ_B8A57CDC,MCQ,python_programming,classes,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:44:03.290790,1.0,pattern_match,279,71,1888.3,0.000492,
MCQ_BAAD06E6,MCQ,python_programming,dictionaries,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:49:11.884309,,ungraded,280,50,1446.9,0.00043,
MCQ_BC7408EC,MCQ,python_programming,data_types,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:48:15.839756,1.0,pattern_match,281,78,1834.5,0.000515,
MCQ_BEC61B81,MCQ,python_programming,functions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:45:21.357384,,ungraded,279,48,1336.2,0.000423,
MCQ_BF487577,MCQ,python_programming,dictionaries,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:44:52.495426,,ungraded,280,62,3879.6,0.000466,
MCQ_BF8E6EA5,MCQ,python_programming,loops,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:48:30.909833,1.0,pattern_match,279,80,1624.7,0.000519,
MCQ_BFDA033B,MCQ,python_programming,lists,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:48:17.332386,1.0,pattern_match,279,61,1491.1,0.000462,
MCQ_C183F6B1,MCQ,python_programming,modules,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:46:24.479800,1.0,pattern_match,279,84,1740.4,0.000531,
MCQ_C43B28E7,MCQ,python_programming,loops,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:46:06.737160,,ungraded,279,48,2169.8,0.000423,
MCQ_C4ACB60A,MCQ,python_programming,functions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:48:12.384079,,ungraded,279,53,1519.5,0.000438,
MCQ_C5AF5DCA,MCQ,python_programming,operators,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:48:55.801354,1.0,pattern_match,279,78,1747.6,0.000513,
MCQ_C9B979B8,MCQ,python_programming,loops,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:45:22.749118,,ungraded,279,62,1391.1,0.000465,
MCQ_C9D2EB36,MCQ,python_programming,data_types,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:45:24.632015,,ungraded,281,34,1882.3,0.000383,
MCQ_CA4DF8B5,MCQ,python_programming,file_io,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:43:48.873149,1.0,pattern_match,281,84,1550.0,0.000533,
MCQ_CEAB9241,MCQ,python_programming,data_types,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:43:39.063101,,ungraded,281,34,1304.4,0.000383,
MCQ_CF5E6845,MCQ,python_programming,functions,,P1,gpt-4o-mini,gpt-4o-mini,42,,2026-05-19T16:44:10.120002,,ungraded,279,48,1304.7,0.000423,
