z_why,c_id,c_h,c_r_,c_r,lesson_topic,c_revision,z_what,e,_split
support_thinking,4110653_56,"[{'id': 56, 'text': 'What is the area of the bottom rectangle?', 'time': '32:05', 'user': 'tutor'}
 {'id': 57, 'text': ""That's correct."", 'time': '34:46', 'user': 'tutor'}
 {'id': 58, 'text': 'What is the area of the top rectangle?', 'time': '35:14', 'user': 'tutor'}
 {'id': 59, 'text': 'es 50', 'time': '36:08', 'user': 'student'}]","[{'is_revised': True, 'text': 'Ah, not quite. What is the length and the width of the top rectangle?', 'user': 'tutor'}]","[{'id': 60, 'text': 'You got it incorrect answer.', 'time': '36:38', 'user': 'tutor'}
 {'id': 61, 'text': 'Let me show you.', 'time': '36:46', 'user': 'tutor'}
 {'id': 62, 'text': 'The area of top rectangle is 10.', 'time': '38:20', 'user': 'tutor'}
 {'id': 63, 'text': 'Add the areas of the two sections together.', 'time': '38:26', 'user': 'tutor'}
 {'id': 64, 'text': 'The final answer is 45 square feet.', 'time': '38:44', 'user': 'tutor'}
 {'id': 65, 'text': 'Did you understand?', 'time': '38:54', 'user': 'tutor'}]",3.6D.Decomposing Figures,"[{'is_revised': True, 'text': 'Ah, not quite. What is the length and the width of the top rectangle?', 'user': 'tutor'}
 {'is_revised': True, 'text': '2 and 5', 'user': 'student'}
 {'is_revised': True, 'text': 'Yes. Do you remember how to get the area of a rectangle?', 'user': 'tutor'}
 {'is_revised': True, 'text': 'we multiply', 'user': 'student'}
 {'is_revised': True, 'text': 'Yes, please multiply 2 x 5', 'user': 'tutor'}
 {'is_revised': True, 'text': '10', 'user': 'student'}]",provide_correction,right-idea,train
support_thinking,2979589_63,"[{'id': 63, 'text': 'Here is your first Exit Ticket question.', 'time': '21:42', 'user': 'tutor'}
 {'id': 64, 'text': 'Please go ahead and give it a good try.', 'time': '21:55', 'user': 'tutor'}
 {'id': 65, 'text': 'Is that your final answer?', 'time': '22:32', 'user': 'tutor'}
 {'id': 66, 'text': 'yes', 'time': '22:49', 'user': 'student'}]","[{'is_revised': True, 'text': 'Ah, not quite. Could you let me know why you think this shape is a pentagon?', 'user': 'tutor'}]","[{'id': 67, 'text': ""That's a good try."", 'time': '23:06', 'user': 'tutor'}
 {'id': 68, 'text': 'Plus 1 point for your effort.', 'time': '23:17', 'user': 'tutor'}]",4.6D.Classifying 2D Figures,"[{'is_revised': True, 'text': 'Ah, not quite. Could you let me know why you think this shape is a pentagon?', 'user': 'tutor'}
 {'is_revised': True, 'text': 'It has 6 sides', 'user': 'student'}
 {'is_revised': True, 'text': 'Oh I see. A pentagon actually has 5 sides. Here, take a look at this chart: https://numberdyslexia.com/wp-content/uploads/2020/05/polygon-chart-templ.jpg', 'user': 'tutor'}
 {'is_revised': True, 'text': 'Could you use the chart and give the question another try please?', 'user': 'tutor'}
 {'is_revised': True, 'text': 'Oh it is a hexagon', 'user': 'student'}
 {'is_revised': True, 'text': 'Well done!', 'user': 'tutor'}]",Provided a visual aid,guess,train
understand_topic,2989417_116,"[{'id': 116, 'text': 'Is that picture visible to you?', 'time': '31:42', 'user': 'tutor'}
 {'id': 117, 'text': '16.00', 'time': '32:05', 'user': 'student'}
 {'id': 118, 'text': 'Is that your final answer,16.00?', 'time': '32:32', 'user': 'tutor'}
 {'id': 119, 'text': 'uhh yes', 'time': '32:43', 'user': 'student'}]","[{'is_revised': True, 'text': 'Hmm, not quite. If I had some apples and some bananas, and I showed you this:', 'user': 'tutor'}
 {'is_revised': True, 'text': 'number of apples < number of bananas', 'user': 'tutor'}
 {'is_revised': True, 'text': 'Which do I have more of?', 'user': 'tutor'}]","[{'id': 120, 'text': ""I'm sorry, your answer is incorrect."", 'time': '32:54', 'user': 'tutor'}
 {'id': 121, 'text': 'That was a good try.', 'time': '32:58', 'user': 'tutor'}
 {'id': 122, 'text': 'You have earned a point for your good try.', 'time': '33:09', 'user': 'tutor'}
 {'id': 123, 'text': 'Look at the equation once, w < 16.', 'time': '33:25', 'user': 'tutor'}]",4.2A.Comparing Decimals,"[{'is_revised': True, 'text': 'Hmm, not quite. If I had some apples and some bananas, and I showed you this:', 'user': 'tutor'}
 {'is_revised': True, 'text': 'number of apples < number of bananas', 'user': 'tutor'}
 {'is_revised': True, 'text': 'Which do I have more of?', 'user': 'tutor'}
 {'is_revised': True, 'text': 'apples?', 'user': 'student'}
 {'is_revised': True, 'text': 'No, in the example above, I have more bananas. Whichever side the < opens towards indicates the bigger number', 'user': 'tutor'}
 {'is_revised': True, 'text': ""You can think of < as a crocodile's mouth. The crocodile always eats the bigger number"", 'user': 'tutor'}]",explain_concept,guess,train
support_thinking,4015974_13,"[{'id': 13, 'text': 'Go ahead and read the question carefully.', 'time': '15:42', 'user': 'tutor'}
 {'id': 14, 'text': 'ok', 'time': '15:46', 'user': 'student'}
 {'id': 15, 'text': 'What are we asked to find in this question?', 'time': '16:00', 'user': 'tutor'}
 {'id': 16, 'text': '928', 'time': '17:15', 'user': 'student'}]","[{'is_revised': True, 'text': ""Yeah, that's it. More precisely, they want us to write the expanded notation for 928"", 'user': 'tutor'}
 {'is_revised': True, 'text': 'Do you know what expanded notation is?', 'user': 'tutor'}]","[{'id': 17, 'text': 'Plus 1 point for your good try.', 'time': '17:31', 'user': 'tutor'}
 {'id': 18, 'text': 'In that given question, we want to find the expanded notation for 928.', 'time': '18:11', 'user': 'tutor'}]",2.2B.Expanded Notation (Review) - 1,"[{'is_revised': True, 'text': ""Yeah, that's it. More precisely, they want us to write the expanded notation for 928"", 'user': 'tutor'}
 {'is_revised': True, 'text': 'Do you know what expanded notation is?', 'user': 'tutor'}
 {'is_revised': True, 'text': 'yes', 'user': 'student'}
 {'is_revised': True, 'text': 'Ok, please give it a go', 'user': 'tutor'}]",encourage_student,imprecise,train
support_thinking,2928581_83,"[{'id': 83, 'text': 'ok', 'time': '45:59', 'user': 'student'}
 {'id': 84, 'text': 'We have to use the coordinates of the point (2, 300) and substitute them into the formula of speed.', 'time': '47:22', 'user': 'tutor'}
 {'id': 85, 'text': 'How can we find the speed of the train?', 'time': '48:54', 'user': 'tutor'}
 {'id': 86, 'text': 'by multyplying', 'time': '49:30', 'user': 'student'}]","[{'is_revised': True, 'text': 'Great try. What are the units for speed?', 'user': 'tutor'}]","[{'id': 87, 'text': 'Great effort! Plus 1 point.', 'time': '50:09', 'user': 'tutor'}
 {'id': 88, 'text': 'The formula to find the speed of the train is miles per hour.', 'time': '50:41', 'user': 'tutor'}
 {'id': 89, 'text': 'What is 300 divided by 2?', 'time': '51:40', 'user': 'tutor'}]",7.4B.Identify Unit Rate,"[{'is_revised': True, 'text': 'Great try. What are the units for speed?', 'user': 'tutor'}
 {'is_revised': True, 'text': 'miles/hour', 'user': 'student'}
 {'is_revised': True, 'text': 'Great! That means we need to divide.', 'user': 'tutor'}]",ask_question,guess,train
clarify_misunderstanding,4055603_31,"[{'id': 31, 'text': 'ok', 'time': '18:24', 'user': 'student'}
 {'id': 32, 'text': 'Try to figure it out, and I can help you along the way.', 'time': '18:31', 'user': 'tutor'}
 {'id': 33, 'text': 'What is the final answer?', 'time': '20:20', 'user': 'tutor'}
 {'id': 34, 'text': '90', 'time': '20:32', 'user': 'student'}]","[{'is_revised': True, 'text': ""Oh, you're pretty close. We want the 8th multiple of 10. Could you type the multiples of 10 up to 100?"", 'user': 'tutor'}]","[{'id': 35, 'text': ""That's incorrect."", 'time': '21:10', 'user': 'tutor'}]",3.2B.Multiples of Ten,"[{'is_revised': True, 'text': ""Oh, you're pretty close. We want the 8th multiple of 10. Could you type the multiples of 10 up to 100?"", 'user': 'tutor'}
 {'is_revised': True, 'text': 'ok', 'user': 'student'}
 {'is_revised': True, 'text': '10 20 30 40 50 60 70 80 90 100', 'user': 'student'}
 {'is_revised': True, 'text': ""That's right. And what's the 8th number you types?"", 'user': 'tutor'}
 {'is_revised': True, 'text': '80', 'user': 'student'}
 {'is_revised': True, 'text': 'Well done!', 'user': 'tutor'}]",provide_strategy,right-idea,train
correct_mistake,2949390_49,"[{'id': 49, 'text': 'There are 0 tens in the number.', 'time': '20:51', 'user': 'tutor'}
 {'id': 50, 'text': 'There are 9 ones in the number.', 'time': '20:58', 'user': 'tutor'}
 {'id': 51, 'text': 'How would you write the whole number four hundred nine?', 'time': '21:09', 'user': 'tutor'}
 {'id': 52, 'text': 'is it right', 'time': '21:16', 'user': 'student'}]","[{'is_revised': True, 'text': ""Ah not quite. You're very close though. The number you write is four-thousand and nine. If it has 4 digits before the decimals, then it would be a number in the thousands. How can we modify your answer so it's four hundred nine?"", 'user': 'tutor'}]","[{'id': 53, 'text': 'That was a good try.', 'time': '21:50', 'user': 'tutor'}
 {'id': 54, 'text': 'We can write the whole number four hundred nine is 409.', 'time': '22:13', 'user': 'tutor'}
 {'id': 55, 'text': 'Here, there are 0 tenths in the number.', 'time': '22:48', 'user': 'tutor'}
 {'id': 56, 'text': 'And, there are 3 thousandths in the number.', 'time': '23:01', 'user': 'tutor'}
 {'id': 57, 'text': 'Here, 3 thousandths can be written as 0.003 or\xa03/1000.', 'time': '23:33', 'user': 'tutor'}
 {'id': 58, 'text': 'Is that step make sense?', 'time': '23:52', 'user': 'tutor'}]",5.2A.Decimal Numbers (Review) - 1,"[{'is_revised': True, 'text': ""Ah not quite. You're very close though. The number you write is four-thousand and nine. If it has 4 digits before the decimals, then it would be a number in the thousands. How can we modify your answer so it's four hundred nine?"", 'user': 'tutor'}
 {'is_revised': True, 'text': '409', 'user': 'student'}
 {'is_revised': True, 'text': 'Well done!', 'user': 'tutor'}]",provide_hint,right-idea,train
clarify_misunderstanding,4273168_71,"[{'id': 71, 'text': ""Yes, that's the correct answer!"", 'time': '24:17', 'user': 'tutor'}
 {'id': 72, 'text': '+1 point for your great answer.', 'time': '24:22', 'user': 'tutor'}
 {'id': 73, 'text': 'What is the value of y1?', 'time': '24:51', 'user': 'tutor'}
 {'id': 74, 'text': '5?', 'time': '25:08', 'user': 'student'}]","[{'is_revised': True, 'text': 'Ah, that number is the x1. Remember the y value is how far up/down the coordinate is', 'user': 'tutor'}]","[{'id': 75, 'text': 'Your answer is incorrect.', 'time': '25:22', 'user': 'tutor'}
 {'id': 76, 'text': 'Read the question carefully and recheck your answer once again.', 'time': '25:27', 'user': 'tutor'}]",8.4A.What is Slope?,"[{'is_revised': True, 'text': 'Ah, that number is the x1. Remember the y value is how far up/down the coordinate is', 'user': 'tutor'}
 {'is_revised': True, 'text': 'Oh, is it -3 then?', 'user': 'student'}
 {'is_revised': True, 'text': 'Yes, well done! ', 'user': 'tutor'}]",provide_hint,right-idea,train
hint_mistake,2950026_44,"[{'id': 44, 'text': 'Try to figure it out.', 'time': '27:38', 'user': 'tutor'}
 {'id': 45, 'text': 'Are you working on that question', 'time': '29:27', 'user': 'tutor'}
 {'id': 46, 'text': '?', 'time': '29:29', 'user': 'tutor'}
 {'id': 47, 'text': 'yes', 'time': '29:59', 'user': 'student'}]","[{'is_revised': True, 'text': 'Great try! It looks like you are close - can you check your work?', 'user': 'tutor'}]","[{'id': 48, 'text': 'Please recheck your answer.', 'time': '30:21', 'user': 'tutor'}
 {'id': 49, 'text': ""That's correct!"", 'time': '31:07', 'user': 'tutor'}
 {'id': 50, 'text': 'Option A is the answer.', 'time': '31:12', 'user': 'tutor'}
 {'id': 51, 'text': 'Do you want me to show the steps for you?', 'time': '31:25', 'user': 'tutor'}]",5.3B.Word Problems with Standard Measurement,"[{'is_revised': True, 'text': 'Great try! It looks like you are close - can you check your work?', 'user': 'tutor'}
 {'is_revised': True, 'text': 'oh A', 'user': 'student'}
 {'is_revised': True, 'text': 'Great!', 'user': 'tutor'}]",ask_question,careless,train
understand_topic,2963511_36,"[{'id': 36, 'text': 'That is a very good start.', 'time': '16:56', 'user': 'tutor'}
 {'id': 37, 'text': 'Nice going.', 'time': '17:39', 'user': 'tutor'}
 {'id': 38, 'text': 'Is that your final answer?', 'time': '17:53', 'user': 'tutor'}
 {'id': 39, 'text': 'yes', 'time': '18:04', 'user': 'student'}]","[{'is_revised': True, 'text': 'Great try! What does it mean if two people split evenly?', 'user': 'tutor'}]","[{'id': 40, 'text': 'Your answer is incorrect.', 'time': '18:16', 'user': 'tutor'}
 {'id': 41, 'text': 'Not to worry.', 'time': '18:21', 'user': 'tutor'}
 {'id': 42, 'text': 'Let me explain it to you.', 'time': '18:36', 'user': 'tutor'}
 {'id': 43, 'text': 'Mia and Daquan have a lemonade stand. At the end of the day, they make $18.', 'time': '19:10', 'user': 'tutor'}
 {'id': 44, 'text': 'They decide to split the $18 evenly. How much money do they each receive?', 'time': '19:17', 'user': 'tutor'}
 {'id': 45, 'text': '$18 money do Mia and Daquan need to split.', 'time': '19:58', 'user': 'tutor'}]",3.4H.Understanding Division,"[{'is_revised': True, 'text': 'Great try! What does it mean if two people split evenly?', 'user': 'tutor'}
 {'is_revised': True, 'text': 'They get the same.', 'user': 'student'}
 {'is_revised': True, 'text': 'Great! So we will divide by 2', 'user': 'tutor'}]",ask_question,guess,train
hint_mistake,4293213_83,"[{'id': 83, 'text': 'Keep going.', 'time': '33:30', 'user': 'tutor'}
 {'id': 84, 'text': 'Keep up the good work.', 'time': '34:08', 'user': 'tutor'}
 {'id': 85, 'text': 'What is your final answer?', 'time': '34:40', 'user': 'tutor'}
 {'id': 86, 'text': '85', 'time': '35:30', 'user': 'student'}]","[{'is_revised': True, 'text': 'Remember there are two ways to read the protractor, are you sure you used the right set of numbers?', 'user': 'tutor'}]","[{'id': 87, 'text': 'Please recheck your answer.', 'time': '36:04', 'user': 'tutor'}
 {'id': 88, 'text': 'Is this your final answer?', 'time': '37:04', 'user': 'tutor'}]",4.7A.Measuring Angles,"[{'is_revised': True, 'text': 'Remember there are two ways to read the protractor, are you sure you used the right set of numbers?', 'user': 'tutor'}
 {'is_revised': True, 'text': ""oh it's 95"", 'user': 'student'}
 {'is_revised': True, 'text': 'Yes great job finding your mistake!', 'user': 'tutor'}]",provide_hint,diagnose,train
understand_topic,6349228_67,"[{'id': 67, 'text': 'sory it tiped that', 'time': '23:07', 'user': 'student'}
 {'id': 68, 'text': ""It's okay."", 'time': '23:13', 'user': 'tutor'}
 {'id': 69, 'text': ""Are all the shapes that follow Timothy's rule the same type of polygon?"", 'time': '23:19', 'user': 'tutor'}
 {'id': 70, 'text': 'yes', 'time': '23:29', 'user': 'student'}]","[{'is_revised': True, 'text': ""No, not quite. Timothy's rule is that the polygon needs to have a right angle"", 'user': 'tutor'}
 {'is_revised': True, 'text': 'But different polygons can have right angles. For example, but a square and a triangle can have a right angle', 'user': 'tutor'}]","[{'id': 71, 'text': 'That was a good try.', 'time': '23:42', 'user': 'tutor'}]",4.6D.Classifying 2D Figures,"[{'is_revised': True, 'text': ""No, not quite. Timothy's rule is that the polygon needs to have a right angle"", 'user': 'tutor'}
 {'is_revised': True, 'text': 'But different polygons can have right angles. For example, but a square and a triangle can have a right angle', 'user': 'tutor'}
 {'is_revised': True, 'text': 'oh I see', 'user': 'student'}
 {'is_revised': True, 'text': 'So the answer to this one is no', 'user': 'tutor'}]",explain_concept,right-idea,train
clarify_misunderstanding,4251976_20,"[{'id': 20, 'text': 'Any questions so far [STUDENT]?', 'time': '18:23', 'user': 'tutor'}
 {'id': 21, 'text': 'no', 'time': '18:40', 'user': 'student'}
 {'id': 22, 'text': 'Alright. Mike has 4 cookies and he eats 3 cookies. So Mike has ______ cookie left?', 'time': '19:47', 'user': 'tutor'}
 {'id': 23, 'text': 'He has 10 cookies  left.', 'time': '21:04', 'user': 'student'}]","[{'is_revised': True, 'text': 'That is incorrect. What operation would you use to solve this problem?', 'user': 'tutor'}]","[{'id': 24, 'text': 'Well, That was a good try. Plus one point for your responces.', 'time': '21:45', 'user': 'tutor'}]",3.4A.Two-Step Word Problems,"[{'is_revised': True, 'text': 'That is incorrect. What operation would you use to solve this problem?', 'user': 'tutor'}
 {'is_revised': True, 'text': 'Subtraction ', 'user': 'student'}
 {'is_revised': True, 'text': 'Good! So what is 4 - 3?', 'user': 'tutor'}
 {'is_revised': True, 'text': '1', 'user': 'student'}
 {'is_revised': True, 'text': 'Correct!', 'user': 'tutor'}]",ask_question,guess,train
